Rate,Num_Rate_People,Num_Comment,Num_Read_People,Link,Name
8.6,1406,475,1339,https://book.douban.com/subject/25779298/,利用Python进行数据分析
8.1,1210,397,1122,https://book.douban.com/subject/24703171/,机器学习实战
9.0,2226,789,2030,https://book.douban.com/subject/10590856/,统计学习方法
9.0,1496,377,1483,https://book.douban.com/subject/3288908/,集体智慧编程
7.7,130,37,121,https://book.douban.com/subject/26670241/,Python金融大数据分析
9.4,840,224,636,https://book.douban.com/subject/27028517/,流畅的Python
9.2,422,136,339,https://book.douban.com/subject/26840215/,Hands-On Machine Learning with Scikit-Learn and TensorFlow
8.2,544,181,502,https://book.douban.com/subject/5377669/,数据挖掘导论
8.4,1075,290,703,https://book.douban.com/subject/27087503/,深度学习
9.0,278,98,266,https://book.douban.com/subject/26709315/,Effective Python
7.9,390,182,415,https://book.douban.com/subject/26616244/,Spark快速大数据分析
7.7,212,85,228,https://book.douban.com/subject/24746415/,推荐系统
9.6,737,232,606,https://book.douban.com/subject/30293801/,Python深度学习
9.5,1381,266,891,https://book.douban.com/subject/2061116/,Pattern Recognition and Machine Learning
8.4,142,35,110,https://book.douban.com/subject/25746399/,统计自然语言处理（第2版）
9.5,693,140,464,https://book.douban.com/subject/3294335/,The Elements of Statistical Learning
9.0,314,51,189,https://book.douban.com/subject/10758624/,Machine Learning
7.4,221,88,281,https://book.douban.com/subject/6545083/,智能Web算法
9.5,2440,489,1810,https://book.douban.com/subject/1148282/,计算机程序的构造和解释(原书第2版)
9.5,2787,516,2857,https://book.douban.com/subject/1230413/,深入理解计算机系统
9.1,2124,471,2254,https://book.douban.com/subject/3227098/,编程珠玑
9.0,2148,482,2512,https://book.douban.com/subject/1467587/,UNIX编程艺术
8.6,2344,511,2740,https://book.douban.com/subject/1152111/,程序员修炼之道
9.1,2998,605,3972,https://book.douban.com/subject/1052241/,设计模式
8.6,87,34,87,https://book.douban.com/subject/25735039/,金融数据分析导论：基于R语言
0,0,1,8,https://book.douban.com/subject/26863820/,多元时间序列分析及金融应用：R语言
7.8,22,5,25,https://book.douban.com/subject/10743316/,金融计量学
8.4,64,24,69,https://book.douban.com/subject/33437423/,阿尔法经济学
7.5,82,31,89,https://book.douban.com/subject/25788071/,打开高频交易的黑箱
7.5,113,50,123,https://book.douban.com/subject/24698948/,量化投资策略
0,0,6,9,https://book.douban.com/subject/26594501/,数量化股票投资:技术与策略
8.8,154,43,197,https://book.douban.com/subject/25984361/,主动投资组合管理
7.5,211,88,234,https://book.douban.com/subject/25878150/,量化交易
9.3,311,97,260,https://book.douban.com/subject/26381341/,Python Cookbook（第3版）
8.8,357,133,353,https://book.douban.com/subject/27044219/,Go程序设计语言
